id,LV1,EPS,FR,HG,LV2,MATH,SPC,SES,SVT,SPE1,SPE2,SPE3,moy_SPE1,moy_SPE2,moy_SPE3
1,13.93,13.33,10.83,9.57,12.06,5.34,10,10,11.84,SES,SVT,LLCE,7.99,4.81,11.75
2,16.04,11.83,9.62,11.61,14.75,7.06,10.07,20,10.17,SES,LLCE,HGGSP,14.22,15.02,6.5
3,14.42,15.83,13.33,12.17,18,16.23,16.12,15.67,14.27,MATH,SPC,SVT,16.53,14.57,13.99
4,12.41,13.44,10.92,10.77,15.64,9.74,10.3,12.45,12.53,SES,LLCE,HLP,12.45,12.41,14.63
5,15.15,13.33,15.28,11.83,18.17,10.43,12,13.39,12.67,SES,HGGSP,LLCE,16.84,14.34,13.91
6,13.78,15.11,11.13,10.37,14.64,10,8.84,13,14.44,SES,MATH,LLCE,10.88,5.92,13.09
7,16.51,13,12.47,12,15.1,16.11,14.69,10,13.8,MATH,SPC,SVT,14.92,13.75,14.12
8,16.32,16.67,15.32,15.17,16.67,16.36,16.34,15.78,15.63,SES,MATH,HGGSP,15.56,15.02,13
9,13.09,17,13.11,11.38,14.35,11.9,16.68,10.67,14.22,SVT,SPC,MATH,11.99,11.27,13.32
10,14.09,13,11.34,11.77,15.28,9.95,9.26,20,10.62,SES,LLCE,HLP,15.79,12.47,10.75
11,14.15,14.06,14.97,12.05,14.84,12.65,14.3,11.89,15.21,SVT,NSI,HLP,12.77,10,15.92
12,15.92,10.83,13.64,10,14.98,6.57,9.51,11.11,9.51,LLCE,HLP,HGGSP,15.10,12.82,10.48
13,13.93,17.11,10.13,10.77,15.09,11.47,11.24,20,12.59,SPC,MATH,LLCE,10.84,12.96,12.56
14,14.05,15.93,14.54,15.76,16.74,13.7,15.9,20,14.71,MATH,SPC,SVT,13.5,11.33,12.66
15,12.38,11.75,14.05,9.67,11,8.75,12.15,12.67,10.21,SES,HLP,HGGSP,15.2,10.38,10.3
16,9.89,14.17,10.67,9.28,10.69,12.13,15.83,6.06,10.59,NSI,MATH,SPC,10,10.4,7.93
17,15.02,18.67,14.58,13.83,16.47,13.44,13.58,16.17,14.05,SES,MATH,LLCE,15.18,13.51,16.24
18,14.92,14.6,10.67,13.03,14.47,10.1,10.87,20,12.49,MATH,SPC,LLCE,12.66,11.2,15.06
19,14.55,15.17,15.97,14.33,14.67,14.28,15.46,14.72,14.9,MATH,HLP,HGGSP,16.24,17.94,15.5
20,14.95,14.08,13.56,14.22,14.58,9,13.36,13.03,12.97,SVT,LLCE,HGGSP,13.72,13.5,9.5
21,14.97,12.7,12.5,12.17,13.4,12.3,12.83,13.65,13.7,SVT,MATH,LLCE,12.53,12,13.5
